Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
BA;2905503;Caldeirão Grande;3;2;2;2;;
BA;2905602;Camacan;3;3;4;5;2;
BA;2905701;Camaçari;;4;5;4;11;
BA;2905800;Camamu;3;4;;4;2;
BA;2905909;Campo Alegre de Lourdes;4;2;3;3;3;
BA;2906006;Campo Formoso;2;3;4;2;2;
BA;2906105;Canápolis;2;1;3;2;3;
BA;2906204;Canarana;4;2;2;4;3;
BA;2906303;Canavieiras;4;4;3;;3;
BA;2906402;Candeal;2;5;3;2;3;
BA;2906501;Candeias;6;3;8;2;7;
BA;2906600;Candiba;2;3;4;3;3;
BA;2906709;Cândido Sales;3;4;2;3;5;
BA;2906808;Cansanção;5;3;5;3;4;
BA;2906824;Canudos;3;3;3;3;3;
BA;2906857;Capela do Alto Alegre;3;2;2;3;2;
BA;2906873;Capim Grosso;5;3;4;4;3;
BA;2906899;Caraíbas;3;3;3;3;3;
BA;2906907;Caravelas;3;2;;4;4;
BA;2907004;Cardeal da Silva;2;5;2;3;2;
BA;2907103;Carinhanha;1;3;3;3;4;
BA;2907202;Casa Nova;;4;2;3;5;
BA;2907301;Castro Alves;3;2;3;3;3;
BA;2907400;Catolândia;2;2;2;2;2;
BA;2907509;Catu;4;3;2;3;5;
BA;2907558;Caturama;3;2;2;2;2;
BA;2907608;Central;3;4;3;3;4;
BA;2907707;Chorrochó;2;2;2;2;3;
BA;2907806;Cícero Dantas;3;3;2;2;3;
BA;2907905;Cipó;2;5;4;4;4;
BA;2908002;Coaraci;4;2;6;3;5;
BA;2908101;Cocos;3;2;2;2;2;
BA;2908200;Conceição da Feira;3;4;2;4;3;
BA;2908309;Conceição do Almeida;3;3;2;2;2;
BA;2908408;Conceição do Coité;4;3;2;2;3;
BA;2908507;Conceição do Jacuípe;5;4;3;;7;
BA;2908606;Conde;3;3;4;2;3;
BA;2908705;Condeúba;3;4;3;2;2;
BA;2908804;Contendas do Sincorá;4;2;;2;2;
BA;2908903;Coração de Maria;3;3;;5;4;
BA;2909000;Cordeiros;3;2;3;2;2;
BA;2909109;Coribe;3;3;4;2;2;
BA;2909208;Coronel João Sá;3;2;3;2;2;
BA;2909307;Correntina;2;2;4;2;7;
BA;2909406;Cotegipe;3;3;3;2;3;
BA;2909505;Cravolândia;3;3;2;2;2;
BA;2909604;Crisópolis;3;4;2;;2;
BA;2909703;Cristópolis;2;3;2;2;4;
BA;2909802;Cruz das Almas;3;4;4;4;3;
BA;2909901;Curaçá;3;3;3;3;3;
BA;2910008;Dário Meira;3;;3;2;3;
BA;2910057;Dias d'Ávila;4;3;2;3;6;
BA;2910107;Dom Basílio;3;2;4;2;2;
BA;2910206;Dom Macedo Costa;2;2;3;2;2;
BA;2910305;Elísio Medrado;3;2;;2;2;
BA;2910404;Encruzilhada;3;3;3;4;3;
BA;2910503;Entre Rios;;9;5;;6;
BA;2910602;Esplanada;;7;5;3;3;
BA;2910701;Euclides da Cunha;3;4;3;2;3;
BA;2910727;Eunápolis;6;3;3;4;5;
BA;2910750;Fátima;3;3;3;2;2;
BA;2910776;Feira da Mata;3;2;2;2;2;
BA;2910800;Feira de Santana;3;4;4;6;8;
BA;2910859;Filadélfia;2;5;2;3;4;
BA;2910909;Firmino Alves;2;2;3;2;3;
BA;2911006;Floresta Azul;4;4;2;3;2;
BA;2911105;Formosa do Rio Preto;3;3;3;2;3;
BA;2911204;Gandu;3;3;3;3;3;
BA;2911253;Gavião;2;2;4;3;3;
BA;2911303;Gentio do Ouro;3;3;3;;2;
BA;2911402;Glória;2;2;2;;3;
BA;2911501;Gongogi;4;2;3;2;4;
BA;2911600;Governador Mangabeira;3;2;2;2;;
BA;2911659;Guajeru;2;2;2;2;2;
BA;2911709;Guanambi;3;2;2;2;2;
BA;2911808;Guaratinga;3;2;3;3;5;
BA;2911857;Heliópolis;3;3;3;2;2;
BA;2911907;Iaçu;3;2;4;3;3;
BA;2912004;Ibiassucê;2;2;2;2;3;
BA;2912103;Ibicaraí;;3;;4;5;
BA;2912202;Ibicoara;2;4;3;5;2;
BA;2912301;Ibicuí;2;2;3;3;2;
BA;2912400;Ibipeba;2;2;1;2;3;
BA;2912509;Ibipitanga;3;2;2;2;2;
BA;2912608;Ibiquera;3;2;3;2;2;
BA;2912707;Ibirapitanga;3;3;4;4;2;
BA;2912806;Ibirapuã;3;2;4;2;3;
BA;2912905;Ibirataia;3;4;2;2;4;
BA;2913002;Ibitiara;2;2;4;2;2;
BA;2913101;Ibititá;2;2;3;2;2;
BA;2913200;Ibotirama;3;3;2;3;2;
BA;2913309;Ichu;4;2;2;2;3;
BA;2913408;Igaporã;2;2;;2;2;
BA;2913457;Igrapiúna;2;5;3;3;3;
BA;2913507;Iguaí;2;4;3;2;3;
BA;2913606;Ilhéus;5;5;3;;8;
BA;2913705;Inhambupe;3;4;2;3;3;
BA;2913804;Ipecaetá;5;4;2;3;3;
BA;2913903;Ipiaú;5;3;3;;8;
BA;2914000;Ipirá;3;4;3;2;2;
BA;2914109;Ipupiara;2;2;2;2;2;
BA;2914208;Irajuba;2;2;2;4;2;
BA;2914307;Iramaia;3;3;3;;3;
BA;2914406;Iraquara;2;2;2;;2;
BA;2914505;Irará;4;4;2;2;5;
BA;2914604;Irecê;4;2;2;3;4;
BA;2914653;Itabela;4;2;4;3;2;
BA;2914703;Itaberaba;4;4;4;;3;
BA;2914802;Itabuna;5;9;6;9;9;
BA;2914901;Itacaré;6;5;;;5;
BA;2915007;Itaeté;3;2;3;3;2;
BA;2915106;Itagi;4;3;3;3;3;
BA;2915205;Itagibá;5;2;4;;6;
BA;2915304;Itagimirim;2;4;5;4;3;
BA;2915353;Itaguaçu da Bahia;2;2;3;2;3;
BA;2915403;Itaju do Colônia;2;4;3;2;2;
BA;2915502;Itajuípe;5;3;6;2;;
BA;2915601;Itamaraju;5;7;4;5;6;
BA;2915700;Itamari;2;2;2;2;2;
BA;2915809;Itambé;3;3;3;2;5;
BA;2915908;Itanagra;3;2;2;5;4;
BA;2916005;Itanhém;3;2;3;3;3;
BA;2916104;Itaparica;4;4;4;3;3;
BA;2916203;Itapé;3;2;4;2;2;
BA;2916302;Itapebi;;5;;3;2;
BA;2916401;Itapetinga;3;5;3;;5;
BA;2916500;Itapicuru;2;2;2;4;2;
BA;2916609;Itapitanga;3;2;4;5;3;
BA;2916708;Itaquara;3;2;2;2;3;
BA;2916807;Itarantim;3;3;3;5;4;
BA;2916856;Itatim;2;4;3;2;2;
BA;2916906;Itiruçu;2;3;2;2;2;
BA;2917003;Itiúba;4;2;4;4;3;
BA;2917102;Itororó;4;1;3;4;3;
BA;2917201;Ituaçu;2;3;2;;4;
BA;2917300;Ituberá;4;3;5;3;3;
BA;2917334;Iuiú;2;3;3;2;;
BA;2917359;Jaborandi;3;2;2;2;2;
BA;2917409;Jacaraci;2;2;3;2;2;
BA;2917508;Jacobina;1;5;3;4;3;
BA;2917607;Jaguaquara;;3;3;3;4;
BA;2917706;Jaguarari;4;4;;3;2;
BA;2917805;Jaguaripe;3;4;;2;2;
BA;2917904;Jandaíra;3;5;;2;3;
BA;2918001;Jequié;4;4;3;6;5;
BA;2918100;Jeremoabo;2;2;4;;2;
BA;2918209;Jiquiriçá;2;2;4;2;2;
BA;2918308;Jitaúna;3;3;;2;2;
BA;2918357;João Dourado;3;2;2;2;2;
BA;2918407;Juazeiro;3;6;4;4;6;
BA;2918456;Jucuruçu;2;3;3;3;2;
BA;2918506;Jussara;3;3;4;3;2;
BA;2918555;Jussari;3;3;2;4;2;
BA;2918605;Jussiape;2;5;3;3;3;
BA;2918704;Lafaiete Coutinho;2;2;1;2;2;
BA;2918753;Lagoa Real;2;3;4;2;2;
BA;2918803;Laje;4;3;3;4;3;
BA;2918902;Lajedão;3;2;;2;3;
BA;2919009;Lajedinho;2;1;3;3;2;
BA;2919058;Lajedo do Tabocal;2;1;2;3;3;
BA;2919108;Lamarão;4;4;2;3;3;
